iter	RMSE
0	0.9229555754
1	0.8402401204
2	0.768277151
3	0.7046424596
4	0.6459129124
5	0.5945680825
6	0.5490273859
7	0.5082784151
8	0.4727467723
9	0.4415029902
10	0.4130394708
11	0.3885643842
12	0.3668950231
13	0.3481988726
14	0.3319131781
15	0.3176123953
16	0.3057041675
17	0.2954892321
18	0.2856916098
19	0.2776773562
20	0.2705520353
21	0.2641854675
22	0.2590620605
23	0.2546856126
24	0.2506616999
25	0.2471486584
26	0.2441744108
27	0.2411902488
28	0.2387192165
29	0.2367009608
30	0.2349313164
31	0.2332459911
32	0.2319266102
33	0.2307533029
34	0.2295739841
35	0.2285254504
36	0.2277226221
37	0.2267495928
38	0.2259936819
39	0.2251899995
40	0.2245801966
41	0.2241563786
42	0.223553697
43	0.2231575924
44	0.2226395852
45	0.2222377593
46	0.2218463336
47	0.2214637244
48	0.2211368553
49	0.220743844
50	0.2204789143
51	0.2201377275
52	0.2199121871
53	0.2196215913
54	0.2194313313
55	0.219196494
56	0.2188162792
57	0.2186262427
58	0.2183576306
59	0.2181713147
60	0.2179427367
61	0.2177615006
62	0.2176336721
63	0.2174904557
64	0.2173853044
65	0.2172065541
66	0.2169318072
67	0.216830347
68	0.2167142835
69	0.2165557591
70	0.2163527469
71	0.2162299825
72	0.2160576546
73	0.2159693921
74	0.2158656745
75	0.2157615031
76	0.2156120775
77	0.2154191444
78	0.2153281397
79	0.2152007139
80	0.2151352785
81	0.2150080936
82	0.2149056047
83	0.2147905954
84	0.2146805775
85	0.214579378
86	0.2144925772
87	0.2143989307
88	0.214289414
89	0.2141744242
90	0.2140794952
91	0.213980883
92	0.213904613
93	0.213826983
94	0.2137361422
95	0.2136741914
96	0.2136462836
97	0.2135822955
98	0.213487862
99	0.2134089671
